rel_paths	fnames	last_mc	last_mn	length_qb	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	TimeSig	KeySig	label_count	annotated_key	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument	staff_6_ambitus	staff_6_instrument	staff_7_ambitus	staff_7_instrument	staff_8_ambitus	staff_8_instrument	staff_9_ambitus	staff_9_instrument	staff_10_ambitus	staff_10_instrument	staff_11_ambitus	staff_11_instrument	staff_12_ambitus	staff_12_instrument	staff_13_ambitus	staff_13_instrument	staff_14_ambitus	staff_14_instrument	staff_15_ambitus	staff_15_instrument	staff_16_ambitus	staff_16_instrument	staff_17_ambitus	staff_17_instrument	staff_18_ambitus	staff_18_instrument	staff_19_ambitus	staff_19_instrument	staff_20_ambitus	staff_20_instrument	staff_21_ambitus	staff_21_instrument	staff_22_ambitus	staff_22_instrument	staff_23_ambitus	staff_23_instrument	staff_24_ambitus	staff_24_instrument	staff_25_ambitus	staff_25_instrument	staff_26_ambitus	staff_26_instrument	staff_27_ambitus	staff_27_instrument	staff_28_ambitus	staff_28_instrument	staff_29_ambitus	staff_29_instrument	staff_30_ambitus	staff_30_instrument
.	76CASM34A33UM	94	94	428.0	428.0	2789.92	3205	887	1: 12/8, 27: 4/4	1: 0, 50: -5, 62: 2, 74: -3	173	d	"Monty Alexander
Transcribed by Kristine Kier Jørgensen"			"76CASM34A33UM
That's The Way It Is"					Copyright © 	2020-02-14	3.02	Apple Macintosh			3.6.2	26-99 (D1-Eb7)			xml	51-99 (Eb3-Eb7)	Piano	26-71 (D1-B4)	Piano	28-58 (E1-Bb3)	Double Bass	35-59 (B1-B3)	Trommesæt																																																				
keyboard/ancient	12.16_Toccata_cromaticha_per_l’elevatione_phrygian	53	53	424.0	424.0	1447.0	528	298	1: 4/2	1: 0	199	e	Girolamo Frescobaldi	La Messa della Domenica							1635	2019-05-03	3.02	Microsoft Windows			3.6.2	41-76 (F2-E5)	1635	1635		54-76 (F#3-E5)	Organ	41-66 (F2-F#4)	Organ																																																								
keyboard/baroque	BWV_0815	215	234	683.0	1346.0	1489.17	2825	1956	1: 4/4, 23: 3/4, 85: 2/2, 112: 3/4, 131: 4/4, 156: 6/8	1: -3	0											2020-05-07	3.02	Linux			3.6.2	36-84 (C2-C6)			capx	51-84 (Eb3-C6)	Klavier linke Hand	36-70 (C2-Bb4)	Klavier linke Hand																																																								
keyboard/classic	K281-3	163	162	648.0	712.0	1443.67	2057	1295	1: 2/2	1: -2	375	Bb	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	3	Rondeau – Allegro	K281					2017-12-05	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap		3.6.2	38-89 (D2-F6)			cap	62-89 (D4-F6)	Klavier linke Hand	38-77 (D2-F5)	Klavier linke Hand																																																								
keyboard/nineteenth	D973deutscher01	21	18	57.0	106.25	164.25	190	83	1: 3/4	1: 4	0		Franz Schubert	Deutscher Nr. 1								2019-09-11	3.02	Linux			3.6.2	30-83 (F#1-B5)				58-83 (A#3-B5)	Piano	30-69 (F#1-A4)	Piano																																																								
orchestral	05_symph_fant	32	32	119.0	119.0	1343.0	2089	324	1: 4/4, 21: 6/8, 29: 2/2, 32: 6/8	1: 0	0		Hector Berlioz (1830)	Symphonie Fantastique, Op. 14								2018-12-01	3.02	Apple Macintosh			3.6.2	31-99 (G1-Eb7)				72-89 (C5-F6)	Flute	84-99 (C6-Eb7)	Piccolo	65-87 (F4-Eb6)	Oboe	75-87 (Eb5-Eb6)	E♭ Clarinet	54-87 (F#3-Eb6)	C Clarinet	51-67 (Eb3-G4)	Horn in E♭	48-64 (C3-E4)	High C Horn	36-69 (C2-A4)	Bassoon	36-69 (C2-A4)	Bassoon	63-75 (Eb4-Eb5)	E♭ Trumpet	63-72 (Eb4-C5)	B♭ Cornet	45-69 (A2-A4)	Trombone	42-63 (F#2-Eb4)	Bass Trombone	36-63 (C2-Eb4)	Tuba	47-52 (B2-E3)	Timpani	43-49 (G2-C#3)	Timpani	57-57 (A3-A3)	Cymbal	35-35 (B1-B1)	Concert Bass Drum		Piano		Piano	60-92 (C4-Ab6)	Violins	60-89 (C4-F6)	Violins	57-89 (A3-F6)	Violins	59-87 (B3-Eb6)	Violins	56-87 (Ab3-Eb6)	Violins	56-87 (Ab3-Eb6)	Violins	48-77 (C3-F5)	Violas	50-75 (D3-Eb5)	Violas	36-65 (C2-F4)	Violoncellos	31-51 (G1-Eb3)	Contrabasses
orchestral	Did03M-Son_regina-1762-Sarti	107	107	428.0	744.0	3035.0	6687	1475	1: 4/4	1: 2	193	D	Giuseppe Sarti			Son regina e sono amante						2020-02-28	3.02	Microsoft Windows			3.6.2	38-86 (D2-D6)			xml	62-86 (D4-D6)	SmartMusic SoftSynth 1	62-86 (D4-D6)	SmartMusic SoftSynth 2	50-74 (D3-D5)	SmartMusic SoftSynth 1	50-66 (D3-F#4)	SmartMusic SoftSynth 2	62-81 (D4-A5)	SmartMusic SoftSynth 1	57-86 (A3-D6)	SmartMusic SoftSynth 1	55-86 (G3-D6)	SmartMusic SoftSynth 1	50-74 (D3-D5)	SmartMusic SoftSynth 1	38-62 (D2-D4)	SmartMusic SoftSynth 1																																										
.	stabat_03_coloured	26	26	104.0	104.0	533.0	588	197	1: 4/4	1: -2	85		Giovanni Battista Pergolesi	Stabat Mater	3	O quam tristis et afflicta					Editions FREDIPI	2019-07-26	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5656628	fredipi	3.6.2	37-86 (C#2-D6)				67-82 (G4-Bb5)	Soprano	58-75 (Bb3-Eb5)	Alto	55-86 (G3-D6)	Piano	37-64 (C#2-E4)	Piano																																																				
