corpus	piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	text	imslp	pdf	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	volta_mcs	originalFormat	P86 (composer)
ravel_piano	Ravel_-_Jeux_dEau	1: 4/4, 2: 2/4, 3: 4/4, 8: 2/4, 9: 4/4, 12: 1/4, 13: 4/4, 17: 2/4, 18: 4/4, 49: 2/4, 50: 4/4, 54: 2/4, 55: 3/4, 56: 4/4, 57: 2/4, 59: 3/4, 60: 4/4, 63: 2/4, 64: 4/4, 67: 2/4, 68: 4/4, 87: 2/4, 88: 4/4	1: 4	88	85	333.25	88	85	333.25	1143.4	4362	2599	0	0	257	E	2.1.0	Adrian Nagel	1901.0	1901.0	Maurice Ravel	Jeux d'eau								2017-11-19	3.02	Microsoft Windows			"<b><font face=""Times New Roman""/>Jeux d'Eau</b>"	"<b><font size=""10""/><font face=""Times New Roman""/>à mon cher Maître Gabriel Fauré</b>"	Maurice Ravel	3.6.2	2.4.0	MS3	MS3/Ravel_-_Jeux_dEau.mscx	0	30-95 (F#1-B6)		https://imslp.org/wiki/Jeux_d%27eau_(Ravel,_Maurice)	https://imslp.org/wiki/Special:ReverseLookup/3175	30-95 (F#1-B6)	Piano	30-94 (F#1-Bb6)	Piano	40-61 (E2-C#4)	Piano			
ravel_piano	Ravel_-_Miroirs_I._Noctuelles	1: 3/4, 13: 3/8, 14: 5/8, 16: 6/8, 21: 2/4, 23: 3/8, 24: 2/4, 26: 3/8, 27: 5/8, 30: 2/4, 31: 5/8, 33: 6/8, 37: 5/4, 39: 3/4, 41: 5/4, 42: 3/4, 45: 5/4, 46: 3/4, 51: 5/4, 52: 4/4, 53: 5/4, 55: 3/4, 97: 3/8, 98: 6/8, 105: 2/4, 107: 3/8, 108: 2/4, 110: 3/8, 111: 5/8, 114: 2/4, 115: 5/8, 117: 6/8, 122: 3/4	1: -5	132	132	402.75	132	132	402.75	1256.2	2768	1656	0	0	0				1904.0	1905.0	Maurice Ravel	Miroirs	1	Noctuelles						2017-11-19	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/5364550		"<b><font size=""19""/><font face=""Tw Cen MT""/>Miroirs</b>"	1. Noctuelles	Maurice Ravel	3.6.2	2.4.0	MS3	MS3/Ravel_-_Miroirs_I._Noctuelles.mscx	0	25-94 (Db1-Bb6)				34-94 (Bb1-Bb6)	Piano	25-94 (Db1-Bb6)	Piano		Piano			
ravel_piano	Ravel_-_Miroirs_II._Oiseaux_tristes	1: 4/4, 3: 3/4, 4: 4/4, 6: 12/8, 7: 4/4, 9: 2/4, 10: 4/4, 22: 2/4, 23: 4/4, 30: 2/4, 34: 4/4	1: -6, 10: 4, 24: -1, 34: 0, 37: -6	40	40	133.25	40	40	133.25	477.64	989	604	0	0	0				1904.0	1905.0	Maurice Ravel	Miroirs	2	Oiseaux tristes						2017-11-19	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/5499618		"<b><font size=""19""/><font face=""Tw Cen MT""/>Miroirs</b>"	2. Oiseaux tristes	Maurice Ravel	3.6.2	2.4.0	MS3	MS3/Ravel_-_Miroirs_II._Oiseaux_tristes.mscx	0	30-95 (F#1-B6)				40-95 (E2-B6)	Piano	30-89 (F#1-F6)	Piano		Piano			
ravel_piano	Ravel_-_Miroirs_III._Une_Barque_sur_l'ocean	1: 2/4, 12: 3/4, 15: 2/4, 24: 3/4, 27: 2/4, 32: 1/4, 33: 3/4, 45: 4/4, 47: 3/4, 48: 4/4, 51: 5/4, 53: 2/4, 64: 3/4, 70: 2/4, 77: 3/4, 78: 4/4, 80: 3/4, 81: 4/4, 83: 5/4, 85: 2/4, 90: 3/4, 91: 2/4, 92: 3/4, 93: 4/4, 97: 3/4, 100: 4/4, 109: 2/4, 110: 4/4, 116: 3/4, 119: 4/4, 123: 3/4, 127: 4/4, 128: 3/4, 129: 2/4, 146: 3/4	1: 3, 77: -3, 90: 3	151	151	380.0	151	151	380.0	1228.44	4713	3582	0	0	239	f#	2.1.0	Adrian Nagel	1904.0	1905.0	Maurice Ravel	Miroirs	3	Une Barque sur l'océan						2017-11-19	3.02	Microsoft Windows	https://musescore.com/score/4829477		"<b><font size=""19""/><font face=""Tw Cen MT""/>Miroirs</b>"	3. Une Barque sur l'océan	Maurice Ravel	3.6.2	2.4.0	MS3	MS3/Ravel_-_Miroirs_III._Une_Barque_sur_l'ocean.mscx	0	26-95 (D1-B6)				29-95 (F1-B6)	Piano	26-90 (D1-F#6)	Piano		Piano			
ravel_piano	Ravel_-_Miroirs_IV._Alborada_del_gracioso	1: 6/8, 30: 3/8, 31: 9/8, 35: 6/8, 36: 9/8, 41: 6/8, 71: 3/4, 125: 9/8, 131: 6/8, 156: 9/8, 168: 6/8, 170: 9/8, 172: 6/8, 213: 9/8, 216: 6/8, 218: 3/8, 219: 6/8	1: -1, 43: 4, 56: 2, 166: 0, 181: 4, 189: 2	229	229	738.75	229	229	738.75	2538.81	4390	1997	0	0	368	D	2.1.0	Adrian Nagel	1904.0	1905.0	Maurice Ravel	Miroirs	4	Alborada del gracioso						2017-11-19	3.02	Microsoft Windows	https://musescore.com/user/2749876/scores/5213797		"<b><font size=""19""/><font face=""Tw Cen MT""/>Miroirs</b>"	4. Alborada del gracioso	Maurice Ravel	3.6.2	2.4.0	MS3	MS3/Ravel_-_Miroirs_IV._Alborada_del_gracioso.mscx	0	25-95 (C#1-B6)				30-95 (F#1-B6)	Piano	25-90 (C#1-F#6)	Piano		Piano			
sweelinck_keyboard	SwWV258_fantasia_cromatica	1: 4/4	1: -1	196	196	784.0	196	196	784.0	2502.5	2639	1595	0	0	501	d	2.1.0	Adrian Nagel	1562.0	1621.0										2020-01-07	3.02	Linux			"Fantasia Cromatica
SwWV258"			3.6.2	2.4.0	MS3	MS3/SwWV258_fantasia_cromatica.mscx	0	38-81 (D2-A5)				50-81 (D3-A5)	linke Hand	38-64 (D2-E4)	linke Hand	38-57 (D2-A3)	Pedal		capx	
wagner_overtures	WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia	1: 6/8	1: 0, 44: 3, 72: 0	112	111	333.5	112	111	333.5	1224.5	1676	896	0	0	360	a	2.1.0	Adrian Nagel	1854.0	1859.0	Richard Wagner	Tristan und Isolde		Erster Aufzug	WWV 90					2019-11-01	3.02	Linux			"<font size=""17.2958""/><font face=""Plantin MT Std""/>Tristan und Isolde"	"<font size=""10.9621""/><font face=""Plantin MT Std""/>Erster Aufzug"		3.6.2	0.0.post1.dev1+gee402e3	MS3	MS3/WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia.mscx	0	29-93 (F1-A6)				41-93 (F2-A6)	Piano (2)	29-77 (F1-F5)	Piano (2)				xml	Q1511
wagner_overtures	WWV096-Meistersinger_01_Vorspiel-Prelude_SchottKleinmichel	1: 4/4	1: 0, 97: 4, 109: 3, 118: 0, 122: -3, 151: 0	222	222	888.0	222	222	888.0	3727.25	5380	2415	0	0	1075	C	2.1.0	Adrian Nagel	1845.0	1867.0	Richard Wagner	Die Meistersinger von Nürnberg		Vorspiel	WWV 96					2019-09-15	3.02	Linux			"<font size=""19.8115""/><font face=""Plantin MT Std""/>Die Meistersinger von Nürnberg
Vorspiel"			3.6.2	2.4.0	MS3	MS3/WWV096-Meistersinger_01_Vorspiel-Prelude_SchottKleinmichel.mscx	0	26-96 (D1-C7)				57-96 (A3-C7)	Piano (2)	26-81 (D1-A5)	Piano (2)				xml	Q1511
